ITEM ID,ASSET CATEGORY ,ASSET TYPE,DESCRIPTION,QTY,UOM
CCA-2026-01010,Equipment,Concrete Vibrator,BACKPACK CONCRETE VIBRATOR W/ HOSE,1,UNIT
CCA-2026-01011,Equipment,Concrete Vibrator,BACKPACK CONCRETE VIBRATOR W/ HOSE,1,UNIT
CIA-2026-01012,Equipment,Power Trowel,RWMG248C Ride-on Power  Trowel,1,UNIT
CIA-2026-01013,Equipment,Power Trowel,RWMG248C Ride-on Power  Trowel,1,UNIT
CIB-2026-01014,Equipment,Power Trowel,RWMG236C Ride-on Power  Trowel,1,UNIT
CIB-2026-01015,Equipment,Power Trowel,RWMG236C Ride-on Power  Trowel,1,UNIT
CIC-2026-01126,Equipment,Power Trowel,WALK BEHIND POWER TROWEL 24'',1,UNIT
CIC-2026-01127,Equipment,Power Trowel,WALK BEHIND POWER TROWEL 24'',1,UNIT
CID-2026-01128,Equipment,Power Trowel,WALK BEHIND POWER TROWEL 36'',1,UNIT
CID-2026-01129,Equipment,Power Trowel,WALK BEHIND POWER TROWEL 36'',1,UNIT
CBA-2026-01130,Equipment,Concrete Cutter,FLOOR SAW HP Q-450,1,UNIT
CBA-2026-01131,Equipment,Concrete Cutter,FLOOR SAW HP Q-450,1,UNIT
CAA-2026-01132,Equipment,Air Compressor,AIR COMPRESSOR 5HP,1,UNIT
CAA-2026-01133,Equipment,Air Compressor,AIR COMPRESSOR 5HP,1,UNIT
CAB-2026-01134,Equipment,Air Compressor,AIR COMPRESSOR 2HP,1,UNIT
CAB-2026-01135,Equipment,Air Compressor,AIR COMPRESSOR 2HP,1,UNIT
FFA-2026-01136,Machine,Grinding Machine,HTG800-4A GRINDING MACHINE,1,UNIT
FFA-2026-01137,Machine,Grinding Machine,HTG800-4A GRINDING MACHINE,1,UNIT
FFB-2026-01138,Machine,Grinding Machine,Self Propelled Grinding Machine 800 LE,1,UNIT
FFB-2026-01139,Machine,Grinding Machine,Self Propelled Grinding Machine 800 LE,1,UNIT
FFC-2026-01040,Machine,Grinding Machine,TANK 550 FLOOR GRINDER,1,UNIT
FFC-2026-01041,Machine,Grinding Machine,TANK 550 FLOOR GRINDER,1,UNIT
FBA-2026-01042,Machine,Buffing Machine,BUFFING MACHINE,1,UNIT
FBA-2026-01043,Machine,Buffing Machine,BUFFING MACHINE,1,UNIT
FFF-2066-01044,Machine,Grinding Machine,EDGE GRINDER HTG 250 W/ VARIABLE,1,UNIT
FFF-2066-01045,Machine,Grinding Machine,EDGE GRINDER HTG 250 W/ VARIABLE,1,UNIT
FHA-2026-01046,Machine,Vacuum Machine,WET & DRY VACUUM MACHINE,1,UNIT
FHA-2026-01047,Machine,Vacuum Machine,WET & DRY VACUUM MACHINE,1,UNIT
FDA-2026-01048,Machine,Burnishing Machine,PROPANE HIGH SPEED POLISHER 700P,1,UNIT
FDA-2026-01049,Machine,Burnishing Machine,PROPANE HIGH SPEED POLISHER 700P,1,UNIT
FDA-2026-01050,Machine,Burnishing Machine,HIGH SPEED POLISHING MACHINE 27'',1,UNIT
FDA-2026-01051,Machine,Burnishing Machine,HIGH SPEED POLISHING MACHINE 27'',1,UNIT
FHB-2026-01052,Machine,Vacuum Machine,IVC-F65L INDUSTRIAL VACUUM CLEANER,1,UNIT
FHB-2026-01053,Machine,Vacuum Machine,IVC-F65L INDUSTRIAL VACUUM CLEANER,1,UNIT
FHD-2026-01054,Machine,Vacuum Machine,X1 VACUUM MACHINE W/ SQUEGEE,1,UNIT
FHD-2026-01055,Machine,Vacuum Machine,X1 VACUUM MACHINE W/ SQUEGEE,1,UNIT
NQA-2026-01056,Power Tools,Hand Polisher,"HAND POLISHER 7""",1,UNIT
NQA-2026-01057,Power Tools,Hand Polisher,"HAND POLISHER 7""",1,UNIT
NPA-2025-01058,Power Tools,Hand Grinder,"HAND GRINDER 4"" ",1,UNIT
NPA-2025-01059,Power Tools,Hand Grinder,"HAND GRINDER 4"" ",1,UNIT
OBA-2026-01060,Power Tools,Triangular Sander,TRIANGULAR SANDER - INGCO,1,UNIT
OBA-2026-01061,Power Tools,Triangular Sander,TRIANGULAR SANDER - INGCO,1,UNIT
NTA-2020-01062,Power Tools,Industrial Blower,INDUSTRIAL BLOWER 12'',1,UNIT
NTA-2020-01063,Power Tools,Industrial Blower,INDUSTRIAL BLOWER 12'',1,UNIT
NLA-2026-01064,Power Tools,Demolition Hammer,BOSCH DEMOLITION HAMMER GSH 11E,1,UNIT
NLA-2026-01065,Power Tools,Demolition Hammer,BOSCH DEMOLITION HAMMER GSH 11E,1,UNIT
NMA-2026-01066,Power Tools,Drill ,METABO BE 75-16 DRILL,1,UNIT
NMA-2026-01067,Power Tools,Drill ,METABO BE 75-16 DRILL,1,UNIT
RIA-2026-01068,Tools,Panel Board,PANEL BOARD (3 PHASE),1,UNIT
RIA-2026-01069,Tools,Panel Board,PANEL BOARD (3 PHASE),1,UNIT
RIB-2026-01070,Tools,Panel Board,PANEL BOARD (SINGLE PHASE),1,UNIT
RIB-2026-01071,Tools,Panel Board,PANEL BOARD (SINGLE PHASE),1,UNIT
RJA-2026-01072,Tools,Submeter,SUB-METER (3 PHASE),1,UNIT
RJA-2026-01073,Tools,Submeter,SUB-METER (3 PHASE),1,UNIT
RFA-2026-01074,Tools,Floodlight,FLOODLIGHT FSL LED 150W,1,UNIT
RFA-2026-01075,Tools,Floodlight,FLOODLIGHT FSL LED 150W,1,UNIT
RKA-2026-01076,Tools,Transformer,60 KVA STEP-UP TRANSFORMER,1,UNIT
RKA-2026-01077,Tools,Transformer,60 KVA STEP-UP TRANSFORMER,1,UNIT
RNA-2026-01078,Tools,AVR,AVR - 10KVA SP,1,UNIT
RNA-2026-01079,Tools,AVR,AVR - 10KVA SP,1,UNIT
RFB-2026-01080,Tools,Floodlight,FLOODLIGHT FSL LED 50W,1,UNIT
RFB-2026-01081,Tools,Floodlight,FLOODLIGHT FSL LED 50W,1,UNIT
RLA-2026-01082,Tools,Pelican Cart,PORTAMIX PELICAN CART,1,UNIT
RLA-2026-01083,Tools,Pelican Cart,PORTAMIX PELICAN CART,1,UNIT
RTA-2026-01084,Tools,Royal Cord,ROYAL CORD 3.5MM,1,UNIT
RTA-2026-01085,Tools,Royal Cord,ROYAL CORD 3.5MM,1,UNIT
RTB-2026-01086,Tools,Royal Cord,ROYAL CORD 5.5MM,1,UNIT
RTB-2026-01087,Tools,Royal Cord,ROYAL CORD 5.5MM,1,UNIT
RTC-2026-01088,Tools,Royal Cord,ROYAL CORD 8.0MM,1,UNIT
RTC-2026-01089,Tools,Royal Cord,ROYAL CORD 8.0MM,1,UNIT
RTD-2026-01090,Tools,Royal Cord,ROYAL CORD 14.0MM,1,UNIT
RTD-2026-01091,Tools,Royal Cord,ROYAL CORD 14.0MM,1,UNIT
